voted_for,gender,education,age,white
Biden,Female,Some college,64,Yes
Trump,Male,Some college,87,Yes
Trump,Male,Post-grad,52,Yes
Trump,Female,Some college,81,Yes
Trump,Male,Post-grad,79,Yes
Biden,Male,4-year,56,Yes
Biden,Female,2-year,68,Yes
Biden,Female,High school graduate,71,Yes
Biden,Female,Some college,77,Yes
Biden,Male,High school graduate,64,Yes
Biden,Male,Some college,64,Yes
Trump,Female,2-year,50,Yes
Biden,Female,High school graduate,58,Yes
Trump,Male,4-year,34,Yes
Trump,Male,High school graduate,61,Yes
Trump,Female,High school graduate,58,Yes
Biden,Female,Some college,57,Yes
Biden,Male,Post-grad,55,Yes
Biden,Female,Post-grad,65,Yes
Biden,Female,No HS,49,No
Trump,Female,High school graduate,57,No
Biden,Male,Post-grad,43,Yes
Biden,Male,4-year,25,No
Trump,Female,High school graduate,61,Yes
Trump,Male,4-year,56,Yes
Biden,Male,4-year,70,Yes
Trump,Female,Post-grad,33,Yes
Biden,Female,Post-grad,77,Yes
Biden,Female,Some college,72,Yes
Trump,Female,Some college,30,Yes
Biden,Female,Post-grad,52,Yes
Trump,Male,High school graduate,59,Yes
Biden,Female,4-year,37,No
Trump,Female,2-year,65,No
Biden,Male,4-year,57,Yes
Trump,Female,2-year,64,Yes
Biden,Female,4-year,31,Yes
Biden,Female,Some college,66,Yes
Biden,Female,Post-grad,53,No
Trump,Male,4-year,58,Yes
Trump,Female,4-year,66,Yes
Biden,Male,Post-grad,76,Yes
Trump,Male,High school graduate,77,Yes
Biden,Male,4-year,50,Yes
Biden,Female,Post-grad,66,Yes
Trump,Female,4-year,64,Yes
Trump,Male,High school graduate,60,Yes
Biden,Male,Some college,76,Yes
Biden,Female,High school graduate,43,Yes
Trump,Male,4-year,68,Yes
Biden,Male,Post-grad,41,Yes
Trump,Male,Some college,67,Yes
Trump,Female,High school graduate,28,Yes
Trump,Female,Some college,63,Yes
Trump,Female,4-year,55,Yes
Biden,Female,Some college,77,Yes
Trump,Female,High school graduate,47,Yes
Biden,Female,High school graduate,69,Yes
Trump,Male,Some college,61,Yes
Biden,Female,Some college,68,Yes
Trump,Male,High school graduate,82,Yes
Biden,Female,4-year,77,Yes
Biden,Male,Post-grad,30,Yes
Biden,Female,High school graduate,72,No
Biden,Female,High school graduate,62,Yes
Biden,Female,4-year,59,Yes
Biden,Female,4-year,65,Yes
Biden,Female,Some college,83,No
Trump,Female,2-year,73,Yes
Trump,Female,Some college,82,Yes
Biden,Female,2-year,72,Yes
Trump,Male,Post-grad,58,Yes
Trump,Female,4-year,59,Yes
Trump,Male,High school graduate,35,Yes
Trump,Female,2-year,88,Yes
Trump,Female,Post-grad,42,No
Trump,Male,2-year,63,Yes
Biden,Female,Post-grad,49,Yes
Trump,Female,High school graduate,45,Yes
Trump,Male,Post-grad,43,Yes
Biden,Female,Post-grad,52,Yes
Biden,Female,Post-grad,61,Yes
Trump,Female,4-year,78,Yes
Biden,Female,Some college,64,Yes
Biden,Male,Post-grad,58,Yes
Trump,Female,2-year,68,Yes
Biden,Female,Some college,34,Yes
Biden,Female,Some college,40,Yes
Trump,Female,Post-grad,75,No
Biden,Female,High school graduate,72,No
Biden,Male,High school graduate,55,Yes
Biden,Male,Some college,69,No
Biden,Male,Some college,53,Yes
Trump,Female,2-year,51,Yes
Trump,Female,2-year,48,Yes
Trump,Female,High school graduate,42,Yes
Biden,Female,4-year,66,Yes
Trump,Female,Some college,66,Yes
Trump,Male,High school graduate,64,Yes
Trump,Female,2-year,73,Yes
Biden,Female,2-year,60,Yes
Trump,Male,Some college,68,No
Trump,Male,Some college,69,Yes
Biden,Male,Post-grad,69,Yes
Biden,Male,Post-grad,63,Yes
Biden,Female,Post-grad,59,Yes
Biden,Male,Post-grad,64,Yes
Trump,Female,High school graduate,70,Yes
Trump,Female,High school graduate,76,Yes
Trump,Female,2-year,67,Yes
Trump,Female,High school graduate,63,Yes
Biden,Female,2-year,32,No
Trump,Female,Some college,72,Yes
Trump,Female,No HS,60,Yes
Biden,Female,Post-grad,48,Yes
Biden,Female,Some college,68,Yes
Trump,Male,4-year,59,Yes
Trump,Female,High school graduate,73,Yes
Trump,Female,Some college,69,Yes
Biden,Female,High school graduate,72,No
Trump,Female,4-year,72,Yes
Trump,Female,4-year,82,Yes
Trump,Male,Post-grad,61,Yes
Biden,Female,High school graduate,62,No
Trump,Female,2-year,60,Yes
Trump,Female,4-year,67,Yes
Trump,Female,Some college,68,Yes
Biden,Male,Post-grad,56,No
Trump,Female,Some college,72,Yes
Trump,Female,High school graduate,59,Yes
Trump,Female,High school graduate,44,Yes
Trump,Male,Post-grad,74,Yes
Biden,Female,Some college,64,Yes
Biden,Female,4-year,49,Yes
Trump,Male,2-year,71,Yes
Biden,Female,Post-grad,48,Yes
Biden,Male,4-year,61,Yes
Biden,Female,4-year,44,Yes
Trump,Female,2-year,68,Yes
Biden,Female,4-year,55,Yes
Trump,Female,High school graduate,59,Yes
Trump,Male,Some college,68,No
Biden,Female,4-year,73,Yes
Trump,Male,4-year,53,Yes
Trump,Female,High school graduate,60,Yes
Biden,Female,4-year,52,Yes
Biden,Male,4-year,41,Yes
Biden,Male,High school graduate,65,Yes
Biden,Female,No HS,60,Yes
Biden,Male,4-year,56,No
Biden,Female,4-year,27,No
Biden,Female,Post-grad,57,No
Biden,Female,Post-grad,32,Yes
Biden,Female,Post-grad,63,Yes
Trump,Female,2-year,43,Yes
Biden,Female,2-year,28,Yes
Trump,Male,Some college,66,Yes
Biden,Female,Post-grad,83,Yes
Biden,Female,Post-grad,60,Yes
Biden,Male,High school graduate,83,Yes
Biden,Female,Post-grad,37,No
Trump,Female,4-year,34,No
Biden,Male,Some college,56,No
Trump,Female,Post-grad,64,Yes
Trump,Female,4-year,47,Yes
Trump,Female,2-year,63,Yes
Biden,Male,Post-grad,84,No
Biden,Female,Some college,33,Yes
Trump,Male,Post-grad,56,Yes
Trump,Male,Post-grad,48,Yes
Biden,Female,4-year,36,Yes
Trump,Male,4-year,37,Yes
Trump,Male,4-year,54,Yes
Trump,Male,Post-grad,57,Yes
Trump,Female,4-year,75,Yes
Biden,Male,2-year,66,Yes
Trump,Female,4-year,75,Yes
Biden,Female,4-year,47,No
Biden,Male,High school graduate,59,Yes
Biden,Female,High school graduate,59,Yes
Biden,Female,Some college,65,Yes
Trump,Male,4-year,65,Yes
Trump,Male,Post-grad,64,Yes
Biden,Female,4-year,59,Yes
Biden,Male,2-year,58,Yes
Biden,Female,Some college,37,Yes
Biden,Female,4-year,58,Yes
Trump,Female,Some college,63,No
Trump,Female,Some college,58,Yes
Trump,Female,4-year,28,Yes
Biden,Male,Post-grad,64,Yes
Biden,Female,4-year,74,Yes
Trump,Female,2-year,57,Yes
Biden,Female,4-year,56,Yes
Trump,Female,High school graduate,52,Yes
Biden,Female,Post-grad,47,Yes
Biden,Female,Some college,63,No
Biden,Female,Post-grad,56,No
Biden,Female,4-year,57,No
Trump,Male,High school graduate,60,Yes
Biden,Male,4-year,62,Yes
Biden,Female,Some college,57,Yes
Trump,Female,Some college,55,Yes
Trump,Male,2-year,82,No
Biden,Female,2-year,47,No
Biden,Female,Some college,34,No
Trump,Female,Some college,78,Yes
Trump,Male,4-year,40,Yes
Trump,Female,High school graduate,73,Yes
Trump,Female,Some college,63,Yes
Trump,Male,4-year,58,Yes
Biden,Female,Some college,69,No
Trump,Male,2-year,58,Yes
Biden,Female,High school graduate,37,No
Biden,Female,4-year,70,Yes
Biden,Male,High school graduate,39,No
Trump,Female,4-year,62,Yes
Trump,Male,Some college,46,Yes
Trump,Male,High school graduate,50,Yes
Biden,Male,4-year,54,Yes
Trump,Male,Post-grad,62,Yes
Biden,Male,4-year,58,Yes
Trump,Female,High school graduate,60,Yes
Biden,Female,Post-grad,49,Yes
Biden,Male,High school graduate,60,Yes
Biden,Female,Some college,70,No
Biden,Female,Post-grad,52,Yes
Biden,Female,Post-grad,59,Yes
Biden,Female,High school graduate,36,Yes
Biden,Female,2-year,56,Yes
Trump,Female,High school graduate,55,Yes
Biden,Female,Some college,72,Yes
Trump,Male,Post-grad,57,Yes
Trump,Male,Some college,36,Yes
Biden,Female,Post-grad,34,Yes
Biden,Female,Some college,33,Yes
Trump,Female,Post-grad,52,No
Biden,Male,4-year,58,Yes
Biden,Female,Some college,51,Yes
Biden,Female,4-year,58,Yes
Biden,Female,High school graduate,38,No
Biden,Female,4-year,61,Yes
Biden,Male,4-year,46,No
Biden,Female,4-year,78,Yes
Biden,Male,Some college,32,Yes
Biden,Female,Post-grad,61,Yes
Biden,Male,4-year,46,No
Biden,Male,Some college,21,Yes
Trump,Male,High school graduate,70,Yes
Trump,Female,4-year,73,Yes
Biden,Male,4-year,59,Yes
Trump,Male,2-year,54,Yes
Biden,Female,4-year,71,Yes
Biden,Female,4-year,60,Yes
Biden,Female,4-year,51,Yes
Trump,Male,Post-grad,50,Yes
Biden,Female,4-year,65,Yes
Biden,Female,Post-grad,64,Yes
Trump,Male,4-year,37,Yes
Biden,Female,4-year,73,Yes
Biden,Female,2-year,71,Yes
Biden,Female,2-year,68,Yes
Trump,Male,4-year,43,Yes
Trump,Female,4-year,51,Yes
Trump,Male,4-year,62,Yes
Trump,Female,Some college,65,Yes
Trump,Female,Post-grad,37,Yes
Biden,Male,4-year,32,Yes
Biden,Female,Some college,64,Yes
Biden,Female,High school graduate,66,Yes
Biden,Male,High school graduate,61,Yes
Trump,Male,Post-grad,52,Yes
Biden,Female,2-year,60,Yes
Trump,Female,4-year,65,Yes
Trump,Female,4-year,43,Yes
Biden,Female,High school graduate,59,Yes
Biden,Male,4-year,66,Yes
Trump,Female,Post-grad,55,Yes
Biden,Female,Some college,41,No
Biden,Female,Some college,63,Yes
Biden,Female,Some college,43,Yes
Biden,Male,4-year,39,Yes
Biden,Female,4-year,68,Yes
Biden,Male,Post-grad,32,Yes
Trump,Male,High school graduate,80,Yes
Trump,Male,High school graduate,80,Yes
Biden,Female,Some college,70,Yes
Biden,Male,4-year,55,Yes
Biden,Female,Post-grad,30,Yes
Trump,Male,2-year,33,Yes
Trump,Male,4-year,61,Yes
Biden,Male,2-year,67,No
Trump,Male,High school graduate,57,Yes
Trump,Male,4-year,39,Yes
Biden,Female,4-year,83,Yes
Biden,Female,4-year,63,Yes
Biden,Male,Some college,60,Yes
Trump,Female,2-year,80,Yes
Biden,Male,High school graduate,48,No
Biden,Female,2-year,55,Yes
Trump,Female,2-year,64,No
Biden,Female,4-year,72,Yes
Trump,Female,2-year,79,Yes
Trump,Male,4-year,50,No
Biden,Female,4-year,43,Yes
Trump,Male,4-year,62,Yes
Trump,Female,4-year,52,Yes
Biden,Female,4-year,42,Yes
Trump,Female,Post-grad,42,No
Trump,Male,High school graduate,59,Yes
Biden,Male,Post-grad,40,Yes
Trump,Female,4-year,63,Yes
Biden,Female,4-year,24,Yes
Biden,Female,4-year,67,Yes
Trump,Female,2-year,69,Yes
Biden,Female,Some college,54,Yes
Biden,Female,4-year,59,Yes
Biden,Female,Post-grad,53,No
Biden,Male,Post-grad,44,Yes
Trump,Male,2-year,50,Yes
Trump,Female,High school graduate,68,Yes
Biden,Female,4-year,65,Yes
Biden,Female,4-year,69,Yes
Trump,Female,High school graduate,79,Yes
Biden,Female,4-year,45,No
Biden,Male,Some college,59,Yes
Biden,Female,Some college,63,No
Trump,Male,Some college,68,Yes
Trump,Male,2-year,62,Yes
Biden,Female,Some college,34,Yes
Biden,Female,Some college,80,Yes
Trump,Male,4-year,40,Yes
Biden,Male,4-year,37,Yes
Biden,Female,2-year,64,Yes
Biden,Male,High school graduate,46,Yes
Biden,Male,2-year,63,No
Biden,Female,4-year,71,Yes
Trump,Female,High school graduate,83,Yes
Biden,Female,Post-grad,30,No
Biden,Male,Some college,56,Yes
Trump,Female,Post-grad,52,Yes
Biden,Female,2-year,61,Yes
Biden,Female,Some college,34,No
Trump,Female,High school graduate,53,Yes
Trump,Male,4-year,53,Yes
Biden,Female,Post-grad,41,No
Biden,Female,4-year,71,Yes
Biden,Female,Post-grad,64,Yes
Trump,Female,Some college,71,Yes
Biden,Female,Some college,75,Yes
Biden,Female,2-year,64,Yes
Biden,Female,4-year,57,No
Trump,Female,Post-grad,43,Yes
Biden,Male,2-year,61,No
Trump,Female,High school graduate,90,Yes
Biden,Female,4-year,27,No
Biden,Female,4-year,62,Yes
Trump,Female,Some college,61,Yes
Biden,Female,Post-grad,61,Yes
Trump,Female,Some college,59,No
Biden,Female,Post-grad,35,No
Biden,Male,4-year,40,Yes
Trump,Female,4-year,52,Yes
Trump,Female,High school graduate,52,Yes
Trump,Male,Post-grad,42,Yes
Biden,Male,High school graduate,52,No
Biden,Male,4-year,56,Yes
Trump,Male,4-year,52,Yes
Biden,Male,4-year,59,No
Trump,Female,2-year,60,Yes
Biden,Female,Some college,39,Yes
Biden,Male,4-year,47,Yes
Biden,Male,Post-grad,61,Yes
Biden,Female,Some college,68,Yes
Biden,Female,4-year,47,Yes
Trump,Male,High school graduate,57,Yes
Trump,Male,Some college,60,Yes
Trump,Female,4-year,54,Yes
Trump,Female,4-year,77,Yes
Trump,Female,Some college,54,Yes
Trump,Female,High school graduate,32,Yes
Trump,Female,High school graduate,58,Yes
Biden,Female,4-year,74,Yes
Trump,Male,Some college,59,No
Trump,Female,Some college,84,Yes
Biden,Female,4-year,66,No
Biden,Male,4-year,42,Yes
Trump,Male,4-year,58,Yes
Biden,Female,Post-grad,36,Yes
Trump,Male,4-year,62,Yes
Trump,Female,High school graduate,68,Yes
Trump,Male,High school graduate,59,Yes
Biden,Male,Some college,58,No
Trump,Female,High school graduate,27,Yes
Trump,Male,2-year,79,No
Biden,Male,4-year,52,Yes
Trump,Female,Some college,81,Yes
Trump,Male,High school graduate,49,Yes
Biden,Female,4-year,38,Yes
Biden,Female,Post-grad,60,Yes
Trump,Female,High school graduate,63,Yes
Biden,Female,Some college,56,Yes
Trump,Female,2-year,58,Yes
Trump,Female,4-year,65,Yes
Biden,Female,Some college,41,No
Biden,Male,Post-grad,62,No
Trump,Male,Post-grad,41,Yes
Biden,Female,4-year,46,Yes
Biden,Female,2-year,56,Yes
Trump,Male,High school graduate,65,Yes
Trump,Female,4-year,51,Yes
Trump,Male,4-year,56,Yes
Trump,Male,4-year,62,Yes
Biden,Female,Some college,46,Yes
Biden,Female,4-year,65,No
Trump,Female,Some college,40,Yes
Trump,Male,Some college,44,Yes
Biden,Male,2-year,26,No
Biden,Female,Post-grad,64,Yes
Biden,Female,4-year,59,Yes
Biden,Male,Some college,47,Yes
Trump,Female,High school graduate,57,Yes
Trump,Male,4-year,51,Yes
Trump,Female,High school graduate,54,Yes
Biden,Male,4-year,29,Yes
Trump,Female,High school graduate,69,No
Trump,Female,Post-grad,65,Yes
Trump,Female,High school graduate,63,Yes
Trump,Male,2-year,62,No
Trump,Male,4-year,63,Yes
Trump,Female,High school graduate,37,Yes
Trump,Male,Post-grad,48,Yes
Biden,Male,High school graduate,63,Yes
Biden,Female,Some college,75,Yes
Biden,Male,Post-grad,55,No
Biden,Male,4-year,63,Yes
Biden,Female,High school graduate,52,Yes
Biden,Female,High school graduate,71,Yes
Trump,Male,Post-grad,82,No
Biden,Male,High school graduate,69,Yes
Biden,Female,2-year,53,Yes
Trump,Male,High school graduate,63,Yes
Trump,Female,2-year,47,Yes
Biden,Male,High school graduate,70,Yes
Biden,Female,4-year,52,Yes
Biden,Female,High school graduate,54,No
Trump,Female,High school graduate,37,Yes
Biden,Female,4-year,61,Yes
Biden,Female,Some college,30,No
Biden,Male,4-year,56,Yes
Biden,Female,Some college,58,Yes
Biden,Female,Post-grad,37,Yes
Trump,Female,2-year,56,Yes
Trump,Male,4-year,55,Yes
Biden,Female,4-year,27,Yes
Trump,Female,2-year,40,Yes
Trump,Female,2-year,50,Yes
Biden,Female,2-year,29,Yes
Trump,Female,Post-grad,63,Yes
Biden,Female,4-year,56,Yes
Biden,Male,Post-grad,33,No
Biden,Female,2-year,27,Yes
Trump,Male,2-year,63,Yes
Trump,Female,High school graduate,57,Yes
Biden,Female,4-year,61,Yes
Trump,Female,High school graduate,65,Yes
Biden,Male,Some college,57,Yes
Biden,Female,High school graduate,62,Yes
Trump,Female,2-year,59,Yes
Trump,Male,High school graduate,59,Yes
Trump,Female,4-year,58,Yes
Biden,Female,Some college,52,No
Biden,Male,Some college,61,Yes
Biden,Female,Some college,55,Yes
Biden,Female,Some college,50,Yes
Biden,Male,4-year,64,Yes
Biden,Male,4-year,56,Yes
Biden,Male,4-year,55,Yes
Trump,Male,2-year,41,Yes
Trump,Male,Some college,36,No
Trump,Female,2-year,47,Yes
Biden,Male,Post-grad,56,No
Biden,Female,Some college,59,Yes
Biden,Male,4-year,50,Yes
Trump,Male,4-year,45,Yes
Trump,Female,4-year,56,Yes
Trump,Female,High school graduate,74,Yes
Biden,Female,4-year,57,Yes
Biden,Female,2-year,67,No
Biden,Female,2-year,60,No
Trump,Male,4-year,50,Yes
Biden,Male,High school graduate,59,Yes
Biden,Female,4-year,53,Yes
Trump,Female,Some college,66,Yes
Biden,Female,High school graduate,74,Yes
Biden,Female,4-year,51,Yes
Biden,Female,4-year,43,No
Biden,Female,High school graduate,41,No
Biden,Male,High school graduate,63,Yes
Trump,Female,High school graduate,56,Yes
Trump,Female,2-year,60,Yes
Trump,Female,4-year,53,Yes
Biden,Male,Post-grad,76,No
Biden,Male,4-year,37,Yes
Biden,Male,2-year,40,Yes
Biden,Female,High school graduate,67,Yes
Biden,Female,Some college,37,Yes
Biden,Female,Some college,34,Yes
Biden,Female,Post-grad,40,Yes
Trump,Male,High school graduate,50,Yes
Biden,Male,4-year,32,No
Trump,Female,High school graduate,74,Yes
Biden,Female,4-year,43,Yes
Trump,Female,4-year,30,No
Trump,Male,Some college,56,Yes
Biden,Female,Some college,52,No
Biden,Female,4-year,61,No
Trump,Female,Some college,64,Yes
Biden,Male,4-year,41,Yes
Trump,Female,4-year,32,No
Trump,Male,2-year,56,Yes
Biden,Male,4-year,47,Yes
Biden,Female,Some college,72,Yes
Biden,Male,Post-grad,35,Yes
Trump,Male,4-year,48,Yes
Biden,Female,Post-grad,38,Yes
Biden,Male,Some college,59,Yes
Trump,Female,Some college,54,Yes
Trump,Male,High school graduate,84,Yes
Trump,Male,High school graduate,52,Yes
Trump,Female,High school graduate,63,Yes
Trump,Male,4-year,65,Yes
Trump,Male,High school graduate,55,Yes
Trump,Female,High school graduate,79,Yes
Trump,Female,No HS,60,Yes
Biden,Male,4-year,42,Yes
Biden,Female,Some college,68,No
Biden,Female,High school graduate,72,Yes
Trump,Male,4-year,62,Yes
Biden,Female,High school graduate,56,Yes
Trump,Male,Post-grad,44,Yes
Biden,Male,4-year,55,Yes
Biden,Male,Some college,52,No
Biden,Male,High school graduate,65,Yes
Biden,Female,High school graduate,73,Yes
Trump,Male,Some college,62,Yes
Trump,Male,Post-grad,30,Yes
Biden,Female,Some college,77,Yes
Biden,Female,Post-grad,54,No
Biden,Male,Post-grad,36,No
Trump,Male,Some college,52,Yes
Biden,Male,4-year,47,No
Trump,Female,Post-grad,76,No
Biden,Female,2-year,71,No
Trump,Female,High school graduate,51,Yes
Trump,Male,4-year,46,Yes
Trump,Male,High school graduate,35,No
Trump,Female,Some college,74,Yes
Trump,Male,Post-grad,56,Yes
Trump,Male,Some college,71,Yes
Trump,Female,High school graduate,31,Yes
Trump,Female,High school graduate,60,Yes
Biden,Female,Post-grad,70,Yes
Biden,Male,Some college,56,Yes
Biden,Male,4-year,24,Yes
Trump,Male,4-year,80,Yes
Trump,Female,Post-grad,30,Yes
Biden,Male,Post-grad,78,Yes
Biden,Female,2-year,46,No
Biden,Female,Some college,65,Yes
Biden,Female,Post-grad,50,Yes
Trump,Female,High school graduate,53,Yes
Biden,Male,Post-grad,81,Yes
Biden,Female,Post-grad,34,Yes
Trump,Female,High school graduate,70,Yes
Trump,Male,2-year,78,Yes
Trump,Male,Some college,73,Yes
Trump,Male,4-year,49,Yes
Biden,Female,Some college,37,Yes
Biden,Female,4-year,27,Yes
Biden,Female,Some college,75,No
Biden,Female,2-year,64,Yes
Trump,Male,2-year,74,No
Trump,Male,Post-grad,43,Yes
Trump,Female,4-year,50,Yes
Trump,Female,4-year,33,Yes
Trump,Male,High school graduate,69,Yes
Trump,Male,Some college,64,Yes
Biden,Female,Post-grad,60,No
Trump,Female,Some college,28,Yes
Trump,Male,4-year,64,Yes
Biden,Female,Some college,51,Yes
Biden,Female,Some college,57,Yes
Trump,Female,High school graduate,54,Yes
Biden,Female,No HS,73,No
Trump,Female,4-year,59,Yes
Trump,Female,High school graduate,46,Yes
Trump,Male,High school graduate,78,Yes
Trump,Female,High school graduate,61,Yes
Biden,Female,High school graduate,77,Yes
Trump,Female,Some college,22,Yes
Trump,Female,Some college,58,Yes
Trump,Female,4-year,37,Yes
Biden,Female,4-year,65,No
Biden,Male,4-year,25,Yes
Trump,Female,High school graduate,48,Yes
Biden,Female,Post-grad,40,Yes
Biden,Female,2-year,69,No
Trump,Male,4-year,49,Yes
Biden,Male,Some college,63,No
Trump,Female,Post-grad,31,Yes
Biden,Male,Post-grad,44,Yes
Biden,Male,4-year,47,Yes
Biden,Female,4-year,44,Yes
Trump,Male,2-year,52,Yes
Biden,Female,4-year,68,No
Biden,Female,Post-grad,55,No
Trump,Male,Some college,59,Yes
Biden,Female,Post-grad,28,Yes
Trump,Female,High school graduate,46,Yes
Biden,Male,4-year,31,Yes
Biden,Male,4-year,62,Yes
Trump,Male,4-year,60,No
Biden,Male,Some college,59,Yes
Trump,Female,High school graduate,25,Yes
Biden,Female,4-year,27,Yes
Trump,Male,4-year,33,Yes
Trump,Female,Some college,63,No
Trump,Female,4-year,55,Yes
Trump,Female,2-year,62,Yes
Biden,Female,2-year,77,No
Biden,Male,High school graduate,51,Yes
Biden,Female,4-year,24,Yes
Biden,Male,Some college,62,Yes
Biden,Male,4-year,74,Yes
Biden,Male,Some college,59,No
Biden,Female,Some college,48,Yes
Trump,Male,2-year,64,Yes
Biden,Female,Some college,62,No
Biden,Female,Some college,21,Yes
Biden,Female,Post-grad,42,Yes
Biden,Female,High school graduate,70,Yes
Trump,Female,High school graduate,75,Yes
Biden,Female,4-year,28,No
Trump,Male,High school graduate,47,Yes
Trump,Female,High school graduate,63,Yes
Biden,Female,4-year,27,No
Biden,Female,High school graduate,85,Yes
Biden,Female,Some college,27,No
Trump,Male,4-year,63,Yes
Biden,Male,High school graduate,79,Yes
Trump,Male,4-year,55,No
Biden,Female,4-year,27,Yes
Trump,Female,Some college,65,Yes
Biden,Female,Some college,42,No
Trump,Female,2-year,55,Yes
Biden,Male,4-year,37,Yes
Biden,Female,Post-grad,27,Yes
Trump,Female,High school graduate,81,Yes
Biden,Female,High school graduate,69,Yes
Biden,Female,Some college,60,Yes
Trump,Male,4-year,64,Yes
Biden,Female,2-year,61,Yes
Biden,Female,Post-grad,29,Yes
Trump,Female,Some college,47,Yes
Trump,Female,2-year,63,Yes
Biden,Female,Some college,22,No
Biden,Male,Post-grad,54,No
Biden,Male,High school graduate,74,Yes
Biden,Female,High school graduate,52,Yes
Biden,Male,Post-grad,31,No
Trump,Male,2-year,62,Yes
Biden,Female,Some college,20,Yes
Biden,Female,High school graduate,68,Yes
Biden,Female,Some college,58,Yes
Biden,Female,High school graduate,77,Yes
Biden,Male,Some college,66,No
Trump,Male,2-year,40,Yes
Biden,Female,High school graduate,48,No
Biden,Female,High school graduate,82,Yes
Biden,Female,High school graduate,72,Yes
Biden,Male,4-year,55,Yes
Biden,Female,High school graduate,55,Yes
Biden,Female,4-year,29,Yes
Biden,Male,4-year,29,Yes
Trump,Female,High school graduate,60,Yes
Trump,Female,Some college,64,Yes
Biden,Female,2-year,64,No
Biden,Female,High school graduate,57,Yes
Biden,Male,Post-grad,56,Yes
Trump,Female,High school graduate,81,Yes
Trump,Male,4-year,64,No
Biden,Female,High school graduate,62,No
Biden,Male,High school graduate,41,Yes
Biden,Female,Some college,20,No
Biden,Male,Some college,63,No
Biden,Female,4-year,24,Yes
Trump,Female,High school graduate,79,Yes
Biden,Male,4-year,24,Yes
Trump,Male,High school graduate,64,Yes
Trump,Male,4-year,61,Yes
Biden,Female,High school graduate,32,Yes
Trump,Female,High school graduate,49,No
Biden,Female,2-year,46,Yes
Biden,Male,Some college,59,Yes
Biden,Female,2-year,29,Yes
Biden,Female,4-year,28,Yes
Trump,Female,High school graduate,65,Yes
Trump,Female,High school graduate,56,Yes
Trump,Male,Post-grad,49,No
Trump,Female,4-year,31,Yes
Biden,Male,Post-grad,41,Yes
Biden,Male,Some college,63,Yes
Biden,Female,Post-grad,39,Yes
Trump,Female,Some college,61,No
Trump,Male,Some college,51,Yes
Trump,Male,Some college,61,Yes
Biden,Female,High school graduate,51,Yes
Biden,Female,Post-grad,29,Yes
Biden,Female,High school graduate,60,Yes
Trump,Male,4-year,54,No
Biden,Male,2-year,57,No
Biden,Female,4-year,41,Yes
Biden,Male,Post-grad,34,Yes
Biden,Female,High school graduate,70,Yes
Trump,Male,4-year,64,No
Trump,Male,4-year,60,No
Biden,Female,High school graduate,60,Yes
Biden,Female,High school graduate,60,Yes
Trump,Male,2-year,61,No
Biden,Female,High school graduate,63,Yes
Biden,Female,High school graduate,40,Yes
Biden,Female,4-year,42,Yes
Trump,Male,Post-grad,42,Yes
Biden,Female,4-year,35,No
Biden,Male,4-year,42,Yes
Biden,Male,2-year,63,No
Biden,Female,4-year,44,No
Trump,Male,Some college,51,No
Trump,Female,4-year,35,Yes
Biden,Female,High school graduate,37,Yes
Biden,Male,High school graduate,75,No
Biden,Female,Some college,64,Yes
Biden,Female,2-year,56,No
Trump,Male,Some college,57,Yes
Biden,Female,High school graduate,60,Yes
Biden,Female,Some college,53,Yes
Trump,Female,High school graduate,39,Yes
Biden,Female,2-year,54,Yes
Biden,Female,High school graduate,90,Yes
Biden,Male,Post-grad,52,No
Biden,Male,Some college,55,Yes
Trump,Male,2-year,58,Yes
Biden,Female,High school graduate,31,No
Biden,Female,Post-grad,45,Yes
Biden,Female,High school graduate,58,Yes
Trump,Male,Some college,50,Yes
Biden,Female,High school graduate,59,Yes
Biden,Female,Some college,34,No
Biden,Male,Post-grad,37,Yes
Biden,Male,2-year,35,Yes
Trump,Female,High school graduate,62,Yes
Biden,Female,Post-grad,39,Yes
Biden,Female,Post-grad,42,No
Trump,Male,Post-grad,34,Yes
Trump,Male,High school graduate,53,Yes
Biden,Female,2-year,24,No
Biden,Female,High school graduate,60,Yes
Trump,Male,Some college,47,Yes
Trump,Male,High school graduate,73,Yes
Biden,Female,High school graduate,59,No
Biden,Male,4-year,35,Yes
Biden,Male,Post-grad,44,Yes
Trump,Male,4-year,61,No
Biden,Female,4-year,24,Yes
Trump,Female,High school graduate,71,Yes
Biden,Male,4-year,61,No
Trump,Male,4-year,65,No
Biden,Female,2-year,55,No
Biden,Female,High school graduate,66,No
Biden,Female,High school graduate,39,No
Trump,Male,High school graduate,55,No
Biden,Female,4-year,59,No
Biden,Male,Some college,56,Yes
Trump,Male,4-year,27,Yes
Biden,Female,Post-grad,33,Yes
Biden,Female,High school graduate,71,No
Biden,Male,Some college,76,No
Biden,Male,Post-grad,29,Yes
Biden,Male,Some college,60,Yes
Trump,Male,4-year,31,Yes
Biden,Female,Some college,63,Yes
Trump,Female,Some college,39,No
Biden,Female,High school graduate,65,Yes
Biden,Female,High school graduate,72,Yes
Biden,Male,2-year,64,No
Trump,Female,4-year,26,Yes
Trump,Male,Some college,60,No
Biden,Female,Some college,64,Yes
Biden,Female,High school graduate,71,Yes
Trump,Female,Some college,50,Yes
Biden,Male,Post-grad,44,No
Biden,Male,4-year,68,No
Trump,Female,Some college,57,Yes
Biden,Female,4-year,38,No
